tree_type,policy_name,storage_type,config_name,cache_size,cache_page_limit,thread_count,timestamp,key_type,value_type,record_count,degree,operation,time_us,throughput_ops_sec,test_run_id,cache_hits,cache_misses,cache_evictions,cache_dirty_evictions,cache_hit_rate,perf_cache_misses,perf_cache_references,perf_cycles,perf_instructions,perf_branch_misses,perf_page_faults,perf_l1_dcache_misses,perf_l1_dcache_loads,perf_llc_misses,perf_llc_loads
BplusTreeSOA,A2Q,PMemStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.0200,99,1,2025-10-10 00:40:02,uint64_t,uint64_t,100000,24,ycsb_a,53777,1859501.74,9,0,0,0,0,0.00,383624,5901190,1777675293,3147695870,11079171,46288,32386672,839705775,288771,3262244
BplusTreeSOA,A2Q,PMemStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.0200,99,1,2025-10-10 00:40:04,uint64_t,uint64_t,100000,24,ycsb_a,53710,1861818.27,10,0,0,0,0,0.00,383624,5901190,1777675293,3147695870,11079171,46288,32386672,839705775,288771,3262244
BplusTreeSOA,CLOCK,VolatileStorage,device_aware_non_concurrent_relaxed,0.1000,499,1,2025-10-10 00:34:01,uint64_t,uint64_t,100000,24,ycsb_a,21374,4678506.59,1,0,0,0,0,0.00,1005472,3426210,976812059,1522126248,7174059,41401,16106613,375266652,383117,589459
BplusTreeSOA,CLOCK,VolatileStorage,device_aware_non_concurrent_relaxed,0.1000,499,1,2025-10-10 00:34:03,uint64_t,uint64_t,100000,24,ycsb_a,21427,4666971.23,2,0,0,0,0,0.00,1005472,3426210,976812059,1522126248,7174059,41401,16106613,375266652,383117,589459
BplusTreeSOA,CLOCK,VolatileStorage,device_aware_non_concurrent_relaxed,0.1000,499,1,2025-10-10 00:34:05,uint64_t,uint64_t,100000,24,ycsb_a,21621,4625083.77,3,0,0,0,0,0.00,1005472,3426210,976812059,1522126248,7174059,41401,16106613,375266652,383117,589459
BplusTreeSOA,CLOCK,VolatileStorage,device_aware_non_concurrent_relaxed,0.1000,499,1,2025-10-10 00:34:07,uint64_t,uint64_t,100000,24,ycsb_a,21642,4620478.09,4,0,0,0,0,0.00,1005472,3426210,976812059,1522126248,7174059,41401,16106613,375266652,383117,589459
BplusTreeSOA,CLOCK,VolatileStorage,device_aware_non_concurrent_relaxed,0.1000,499,1,2025-10-10 00:34:09,uint64_t,uint64_t,100000,24,ycsb_a,21870,4572320.25,5,0,0,0,0,0.00,1005472,3426210,976812059,1522126248,7174059,41401,16106613,375266652,383117,589459
BplusTreeSOA,CLOCK,VolatileStorage,device_aware_non_concurrent_relaxed,0.1000,499,1,2025-10-10 00:34:11,uint64_t,uint64_t,100000,24,ycsb_a,22409,4462317.71,6,0,0,0,0,0.00,1005472,3426210,976812059,1522126248,7174059,41401,16106613,375266652,383117,589459
BplusTreeSOA,CLOCK,VolatileStorage,device_aware_non_concurrent_relaxed,0.1000,499,1,2025-10-10 00:34:13,uint64_t,uint64_t,100000,24,ycsb_a,21411,4670384.14,7,0,0,0,0,0.00,1005472,3426210,976812059,1522126248,7174059,41401,16106613,375266652,383117,589459
BplusTreeSOA,CLOCK,VolatileStorage,device_aware_non_concurrent_relaxed,0.1000,499,1,2025-10-10 00:34:15,uint64_t,uint64_t,100000,24,ycsb_a,22052,4534551.83,8,0,0,0,0,0.00,1005472,3426210,976812059,1522126248,7174059,41401,16106613,375266652,383117,589459
BplusTreeSOA,CLOCK,VolatileStorage,device_aware_non_concurrent_relaxed,0.1000,499,1,2025-10-10 00:34:17,uint64_t,uint64_t,100000,24,ycsb_a,21666,4615439.08,9,0,0,0,0,0.00,1005472,3426210,976812059,1522126248,7174059,41401,16106613,375266652,383117,589459
